timestamp,nota,lx,ly,rx,ry,lt,rt,delay_feedback,chorus_depth,reverb_mix
1754605603.8868093,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605603.9493346,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605604.0107641,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605604.0687497,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605604.1327982,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605604.193813,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754605604.2587543,--,0.061,-0.021,0.039,-0.019,0.0,0.0,0.169,0.1,0.52
1754605604.3187606,--,0.022,-0.021,0.039,-0.015,0.0,0.0,0.17,0.1,0.52
1754605604.3824778,0,-0.407,0.072,0.039,-0.001,0.0,0.0,0.176,0.1,0.52
1754605604.4468405,0,-0.81,0.454,0.039,0.007,0.0,0.0,0.18,0.1,0.52
1754605604.5075138,0,-0.851,0.597,0.039,0.014,0.0,0.0,0.183,0.1,0.52
1754605604.5744796,0,-0.856,0.625,0.039,0.016,0.0,0.0,0.184,0.1,0.52
1754605604.634691,0,-0.86,0.63,0.039,0.044,0.0,0.0,0.197,0.1,0.52
1754605604.695471,0,-0.857,0.309,0.039,0.115,0.0,0.0,0.232,0.1,0.52
1754605604.7593317,--,-0.069,-0.03,0.744,0.669,0.0,0.0,0.637,0.1,0.872
1754605604.823614,--,0.037,-0.028,0.805,0.726,0.0,0.0,0.692,0.1,0.903
1754605604.883011,--,0.051,-0.028,0.926,0.345,0.0,0.0,0.371,0.1,0.963
1754605604.9462295,--,0.058,-0.028,0.687,-0.567,0.0,0.0,0.022,0.1,0.843
1754605605.0120053,--,0.058,-0.028,0.105,-0.922,0.0,0.0,0.0,0.1,0.552
1754605605.0718312,--,0.058,-0.028,-0.14,-0.232,0.0,0.0,0.091,0.1,0.43
1754605605.1337914,--,0.058,-0.028,0.074,0.119,0.0,0.0,0.234,0.1,0.537
1754605605.2006574,--,0.058,-0.028,0.164,0.087,0.0,0.0,0.218,0.1,0.582
1754605605.2635086,--,0.058,-0.028,0.222,-0.061,0.0,0.0,0.151,0.1,0.611
1754605605.3255138,--,0.058,-0.028,0.825,-0.494,0.0,0.0,0.032,0.1,0.913
1754605605.3837464,--,0.058,-0.028,0.902,-0.551,0.0,0.0,0.024,0.1,0.951
1754605605.4475834,--,0.058,-0.028,0.966,-0.354,0.0,0.0,0.059,0.1,0.983
1754605605.5115075,--,0.058,-0.028,0.986,-0.251,0.0,0.0,0.086,0.1,0.993
1754605605.570949,--,0.058,-0.028,0.99,-0.246,0.0,0.0,0.087,0.1,0.995
1754605605.632896,--,0.058,-0.028,0.99,-0.243,0.0,0.0,0.088,0.1,0.995
1754605605.6946125,--,0.032,0.005,0.99,-0.243,0.0,0.0,0.088,0.1,0.995
1754605605.7586863,0,-0.818,0.065,0.99,-0.243,0.0,0.0,0.088,0.1,0.995
1754605605.8229804,0,-0.978,0.423,0.982,-0.209,0.0,0.0,0.098,0.1,0.991
1754605605.88389,0,-0.652,0.568,0.281,-0.005,0.0,0.0,0.175,0.1,0.641
1754605605.9508693,0,-0.553,0.974,0.116,0.034,0.0,0.0,0.192,0.1,0.558
1754605606.0089347,2,-0.126,1.0,0.065,-0.021,0.0,0.0,0.168,0.1,0.533
1754605606.071611,2,0.424,1.0,0.058,0.016,0.0,0.0,0.184,0.1,0.529
1754605606.1327956,2,0.767,0.656,0.056,0.022,0.0,0.0,0.187,0.1,0.528
1754605606.193827,4,1.0,0.263,0.056,0.025,0.0,0.0,0.188,0.1,0.528
1754605606.2579517,4,1.0,0.045,0.056,0.027,0.0,0.0,0.189,0.1,0.528
1754605606.3189619,4,1.0,-0.133,0.056,0.027,0.0,0.0,0.189,0.1,0.528
1754605606.8847458,4,1.0,-0.238,0.056,0.027,1.0,0.0,0.189,0.1,0.528
1754605607.4477088,4,1.0,-0.043,0.056,0.027,1.0,0.0,0.189,0.1,0.528
1754605607.5108244,7,0.045,-0.901,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.5710015,7,0.062,-0.206,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.6326535,--,0.062,-0.127,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.6976275,--,0.058,-0.096,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.7624078,--,0.061,-0.056,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.823693,--,0.061,-0.043,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605607.8826883,--,0.061,-0.041,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605608.2477086,--,0.061,-0.039,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605608.2566125,--,0.013,0.001,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605608.3219225,0,-0.346,0.569,0.056,0.029,0.0,0.0,0.19,0.1,0.528
1754605608.3825266,0,-0.353,1.0,-0.004,0.432,0.0,0.0,0.434,0.1,0.498
1754605608.4474857,2,-0.228,1.0,-0.087,1.0,0.0,0.0,1.0,0.1,0.456
1754605608.511791,2,-0.149,1.0,0.312,1.0,0.0,0.0,1.0,0.1,0.656
1754605608.5757856,2,0.265,1.0,0.489,0.877,0.0,0.0,0.853,0.1,0.744
1754605608.6326785,2,0.36,1.0,0.644,-0.481,0.0,0.0,0.034,0.1,0.822
1754605609.1976047,2,0.547,0.953,0.689,-1.0,0.0,0.804,0.0,1.201,0.845
1754605609.7653213,9,-0.536,-0.894,0.95,-0.51,0.0,1.0,0.03,2.0,0.975
1754605610.3242795,2,0.415,1.0,-0.979,0.456,0.0,1.0,0.452,2.0,0.011
1754605610.3835788,2,0.474,1.0,0.067,0.043,0.0,0.0,0.196,0.1,0.534
1754605610.4467158,2,0.432,1.0,0.065,0.04,0.0,0.0,0.195,0.1,0.533
1754605611.0117984,2,0.424,1.0,0.065,0.037,0.0,1.0,0.193,2.0,0.533
1754605611.0718348,2,0.42,1.0,0.058,0.034,0.0,0.0,0.192,0.1,0.529
1754605611.1354563,2,0.373,1.0,0.058,0.034,0.0,0.0,0.192,0.1,0.529
1754605611.194788,2,0.281,1.0,0.058,0.034,0.0,0.0,0.192,0.1,0.529
1754605611.2565212,2,0.14,1.0,0.058,0.034,0.0,0.0,0.192,0.1,0.529
1754605611.3192713,2,0.092,1.0,0.058,0.034,0.0,0.0,0.192,0.1,0.529
1754605611.3817675,2,-0.282,1.0,0.045,0.034,0.0,0.0,0.192,0.1,0.522
1754605611.447969,0,-0.604,0.979,0.01,0.044,0.0,0.0,0.197,0.1,0.505
1754605611.510926,0,-1.0,0.346,0.008,0.065,0.0,0.0,0.207,0.1,0.504
1754605611.5706904,9,-0.933,-0.446,0.006,0.067,0.0,0.0,0.208,0.1,0.503
1754605611.6346726,--,0.125,-0.161,0.006,0.074,0.0,0.0,0.211,0.1,0.503
1754605611.6956508,--,0.146,-0.079,0.006,0.051,0.0,0.0,0.2,0.1,0.503
1754605611.7618983,--,0.081,-0.041,0.008,0.047,0.0,0.0,0.198,0.1,0.504
1754605611.8237898,--,0.071,-0.027,0.008,0.058,0.0,0.0,0.203,0.1,0.504
1754605611.8899388,--,0.069,0.015,0.008,0.075,0.0,0.0,0.212,0.1,0.504
1754605611.9462285,--,0.069,0.029,0.008,0.078,0.0,0.0,0.213,0.1,0.504
1754605612.0134516,--,0.058,0.09,0.008,0.078,0.0,0.0,0.213,0.1,0.504
1754605612.071789,2,0.026,0.934,0.008,0.065,0.0,0.0,0.207,0.1,0.504
1754605612.1426933,2,0.016,1.0,0.008,0.034,0.0,0.0,0.192,0.1,0.504
1754605612.1941388,2,0.052,1.0,0.008,0.034,0.0,0.0,0.192,0.1,0.504
1754605612.2580056,2,0.255,1.0,0.008,0.034,0.0,0.0,0.192,0.1,0.504
1754605612.3216472,2,0.668,0.855,0.008,0.034,0.0,0.0,0.192,0.1,0.504
1754605612.3827572,2,0.831,0.678,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.4468374,2,0.857,0.644,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.510749,2,0.722,0.778,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.5750935,2,-0.262,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.6388447,0,-0.483,0.99,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.694991,0,-0.596,0.956,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.7588127,0,-0.765,0.839,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.8228102,0,-0.807,0.774,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.8817208,0,-0.813,0.76,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605612.9459867,0,-0.815,0.76,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.0099828,0,-0.815,0.772,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.070586,0,-0.645,0.896,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.1347163,2,-0.259,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.1965742,2,-0.177,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.2608955,2,-0.158,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.3217595,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.3833354,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.446238,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.5089364,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.5705118,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.6328015,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.6938393,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.756797,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.8266912,2,-0.155,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.8860545,2,-0.037,1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605613.9468453,2,0.869,0.715,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.0066295,7,0.901,-0.711,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.0706475,7,0.464,-1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.1355202,7,-0.263,-1.0,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.1964905,9,-1.0,-0.344,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.2584982,0,-0.943,0.463,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.3188047,--,0.074,0.092,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.3858175,--,0.048,-0.001,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.4466047,--,0.046,-0.015,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.5107574,9,0.059,-0.016,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.574294,9,0.062,0.004,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.6357658,9,0.062,0.004,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.6957755,9,0.065,0.006,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.761709,--,0.065,0.006,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.824176,7,0.062,0.008,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.8817499,7,0.062,0.008,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605614.9454026,--,0.062,-0.007,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.0097299,--,0.061,-0.015,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.074191,5,0.061,-0.025,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.1315932,5,0.061,-0.028,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.1958933,--,0.061,-0.028,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.2619464,--,0.061,-0.028,0.008,0.031,0.0,0.0,0.191,0.1,0.504
1754605615.3189633,--,0.061,-0.028,0.008,0.031,0.0,0.0,0.191,0.1,0.504
