timestamp,nota,lx,ly,rx,ry,lt,rt,delay_feedback,chorus_depth,reverb_mix
1754611422.8560216,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611422.9159837,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611422.9766157,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.038617,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.103563,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.1698816,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.2329829,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.288672,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.3535233,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.4187484,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.480101,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.5408847,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.6033912,--,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.1,0.5
1754611423.6758475,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611423.72796,--,0.051,0.001,0.034,0.056,0.0,0.031,0.203,0.1,0.517
1754611423.790097,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611423.8506896,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611423.9128268,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611423.9752464,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.0525022,--,0.051,0.001,0.034,0.056,0.0,0.047,0.203,0.101,0.517
1754611424.1041238,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.1684244,--,0.051,0.001,0.034,0.056,0.0,0.133,0.203,0.112,0.517
1754611424.236885,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.297714,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.353626,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.4202478,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.4851444,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.5478253,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.6029475,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.6688914,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.7348745,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.7969227,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.8527477,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611424.9198935,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611424.9758282,--,0.051,0.001,0.034,0.056,0.0,0.051,0.203,0.101,0.517
1754611425.0443566,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.103132,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.167684,--,0.051,0.001,0.034,0.056,0.0,0.424,0.203,0.322,0.517
1754611425.2279668,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.291593,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.353022,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.4153156,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.4779837,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.540745,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.602459,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.664399,--,0.051,0.001,0.034,0.056,0.0,0.933,0.203,1.699,0.517
1754611425.7268164,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.7888315,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.8508654,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611425.9148521,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611425.9769523,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611426.0390768,--,0.051,0.001,0.034,0.056,0.0,0.239,0.203,0.153,0.517
1754611426.1028247,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.1658356,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611426.2267416,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611426.3025868,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.352574,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611426.4189522,--,0.051,0.001,0.034,0.056,0.0,1.0,0.203,2.0,0.517
1754611426.485341,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.5519354,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.601745,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.6683354,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.7352233,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.8019595,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.851666,--,0.051,0.001,0.034,0.056,0.0,0.0,0.203,0.1,0.517
1754611426.9207604,--,0.051,0.001,0.034,0.092,0.0,0.0,0.22,0.1,0.517
1754611426.9855976,--,0.051,0.001,0.034,0.097,0.0,0.0,0.223,0.1,0.517
1754611427.0488484,--,0.051,0.001,0.034,0.094,0.0,0.0,0.221,0.1,0.517
1754611427.102554,--,0.051,0.001,0.034,0.09,0.0,0.0,0.219,0.1,0.517
1754611427.16867,6,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.232945,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.2968857,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.352768,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.4189358,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.4829776,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.545227,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.602709,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.669358,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.7328346,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.794947,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.853011,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611427.914361,--,0.051,0.001,0.034,0.087,0.0,0.263,0.218,0.167,0.517
1754611427.980271,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.042729,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.1029325,--,0.051,0.001,0.034,0.087,0.0,0.447,0.218,0.354,0.517
1754611428.1692233,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.2298956,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.2919002,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.353679,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.415854,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.4802065,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.5403042,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.6026149,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.6682537,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.730265,--,0.051,0.001,0.034,0.087,0.0,1.0,0.218,2.0,0.517
1754611428.7913387,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.852318,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.9150565,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611428.9752982,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.0386035,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.1022437,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.1651318,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.228529,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.2907062,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.3526225,--,0.051,0.001,0.034,0.087,1.0,0.0,0.218,0.1,0.517
1754611429.4157107,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.4790015,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.5437386,--,0.051,0.001,0.034,0.087,1.0,0.0,0.218,0.1,0.517
1754611429.601796,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.6644497,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.7270765,--,0.051,0.001,0.034,0.087,1.0,0.0,0.218,0.1,0.517
1754611429.7879608,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611429.8538039,--,0.051,0.001,0.034,0.087,0.471,0.0,0.218,0.1,0.517
1754611429.9192283,--,0.051,0.001,0.034,0.087,1.0,0.0,0.218,0.1,0.517
1754611429.9853241,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.0526369,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.1026533,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.1679056,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.234657,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.300214,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.3506818,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
1754611430.431648,--,0.051,0.001,0.034,0.087,0.0,0.0,0.218,0.1,0.517
